iter	Passed	Remaining
665	1103	553
666	1105	551
667	1106	550
668	1108	548
669	1109	546
670	1110	544
671	1117	545
672	1119	543
673	1121	542
674	1122	540
675	1124	538
676	1125	537
677	1127	535
678	1129	534
679	1131	532
680	1131	530
681	1133	528
682	1134	526
683	1136	524
684	1137	523
685	1139	521
686	1140	519
687	1142	518
688	1144	516
689	1145	514
690	1147	513
691	1148	511
692	1150	509
693	1151	507
694	1153	506
695	1154	504
696	1155	502
697	1157	500
698	1158	499
699	1160	497
700	1161	495
701	1163	493
702	1164	492
703	1166	490
704	1167	488
705	1169	486
706	1170	485
707	1171	483
708	1173	481
709	1175	480
710	1176	478
711	1178	476
712	1179	474
713	1181	473
714	1182	471
715	1184	469
716	1185	467
717	1186	466
718	1188	464
719	1190	462
720	1191	461
721	1192	459
722	1194	457
723	1195	455
724	1197	454
725	1198	452
726	1199	450
727	1201	448
728	1202	447
729	1204	445
730	1205	443
731	1207	441
732	1208	440
733	1210	438
734	1211	436
735	1212	435
736	1213	433
737	1215	431
738	1216	429
739	1217	427
740	1219	426
741	1220	424
742	1222	422
743	1223	421
744	1225	419
745	1226	417
746	1227	415
747	1229	414
748	1230	412
749	1232	410
750	1233	409
751	1235	407
752	1237	405
753	1238	404
754	1240	402
755	1241	400
756	1243	399
757	1244	397
758	1245	395
759	1247	393
760	1248	392
761	1250	390
762	1252	389
763	1254	387
764	1255	385
765	1257	384
766	1258	382
767	1260	380
768	1262	379
769	1263	377
770	1265	375
771	1267	374
772	1268	372
773	1269	370
774	1271	369
775	1272	367
776	1274	365
777	1275	364
778	1277	362
779	1278	360
780	1280	359
781	1282	357
782	1283	355
783	1284	353
784	1286	352
785	1287	350
786	1289	348
787	1290	347
788	1292	345
789	1293	343
790	1295	342
791	1297	340
792	1298	339
793	1300	337
794	1301	335
795	1303	334
796	1304	332
797	1306	330
798	1307	328
799	1309	327
800	1310	325
801	1312	324
802	1313	322
803	1314	320
804	1316	318
805	1318	317
806	1319	315
807	1321	313
808	1322	312
809	1324	310
810	1325	308
811	1327	307
812	1329	305
813	1330	304
814	1332	302
815	1334	300
816	1336	299
817	1337	297
818	1338	295
819	1340	294
820	1341	292
821	1343	290
822	1345	289
823	1347	287
824	1348	286
825	1350	284
826	1351	282
827	1353	281
828	1354	279
829	1356	277
830	1357	275
831	1358	274
832	1360	272
833	1361	271
834	1363	269
835	1364	267
836	1365	266
837	1367	264
838	1368	262
839	1370	261
840	1371	259
841	1373	257
842	1375	256
843	1376	254
844	1378	252
845	1379	251
846	1381	249
847	1382	247
848	1384	246
849	1385	244
850	1387	242
851	1389	241
852	1390	239
853	1392	237
854	1393	236
855	1394	234
856	1396	232
857	1397	231
858	1399	229
859	1400	228
860	1402	226
861	1404	224
862	1405	223
863	1407	221
864	1408	219
865	1410	218
866	1411	216
867	1413	214
868	1414	213
869	1416	211
870	1417	209
871	1419	208
872	1421	206
873	1422	205
874	1424	203
875	1425	201
876	1427	200
877	1428	198
878	1430	196
879	1431	195
880	1433	193
881	1435	191
882	1436	190
883	1438	188
884	1439	187
885	1441	185
886	1442	183
887	1444	182
888	1445	180
889	1447	178
890	1448	177
891	1451	175
892	1452	174
893	1469	174
894	1475	173
895	1481	171
896	1487	170
897	1493	169
898	1501	168
899	1508	167
900	1517	166
901	1524	165
902	1531	164
903	1537	163
904	1543	162
905	1549	160
906	1555	159
907	1561	158
908	1567	156
909	1573	155
910	1580	154
911	1585	153
912	1592	151
913	1598	150
914	1603	148
915	1608	147
916	1612	145
917	1615	144
918	1617	142
919	1620	140
920	1624	139
921	1626	137
922	1627	135
923	1629	134
924	1631	132
925	1632	130
926	1634	128
927	1638	127
928	1640	125
929	1642	123
930	1643	121
931	1645	120
932	1647	118
933	1648	116
934	1651	114
935	1653	113
936	1655	111
937	1657	109
938	1659	107
939	1660	106
940	1662	104
941	1664	102
942	1667	100
943	1669	99
944	1671	97
945	1673	95
946	1674	93
947	1676	91
948	1678	90
949	1679	88
950	1683	86
951	1685	84
952	1687	83
953	1689	81
954	1690	79
955	1692	77
956	1694	76
957	1695	74
958	1698	72
959	1700	70
960	1702	69
961	1704	67
962	1706	65
963	1707	63
964	1709	61
965	1711	60
966	1714	58
967	1716	56
968	1717	54
969	1719	53
970	1721	51
971	1722	49
972	1724	47
973	1726	46
974	1729	44
975	1731	42
976	1733	40
977	1735	39
978	1736	37
979	1738	35
980	1740	33
981	1742	31
982	1745	30
983	1747	28
984	1748	26
985	1750	24
986	1752	23
987	1754	21
988	1755	19
989	1758	17
990	1761	16
991	1763	14
992	1765	12
993	1767	10
994	1768	8
995	1770	7
996	1772	5
997	1774	3
998	1777	1
999	1779	0
